Instance,Terminal,Layer,X location,Y location,Voltage
TAP_TAPCELL_ROW_9_36,VGND,li1,31.5100,37.7880,0.000003
TAP_TAPCELL_ROW_8_35,VGND,li1,18.6300,32.9310,0.000001
TAP_TAPCELL_ROW_7_34,VGND,li1,31.5100,32.3480,0.000001
TAP_TAPCELL_ROW_6_33,VGND,li1,18.6300,27.4910,0.000002
TAP_TAPCELL_ROW_5_32,VGND,li1,31.5100,26.9080,0.000002
TAP_TAPCELL_ROW_4_31,VGND,li1,18.6300,22.0510,0.000002
TAP_TAPCELL_ROW_3_30,VGND,li1,31.5100,21.4680,0.000002
TAP_TAPCELL_ROW_2_29,VGND,li1,18.6300,16.6110,0.000005
TAP_TAPCELL_ROW_1_28,VGND,li1,31.5100,16.0280,0.000005
TAP_TAPCELL_ROW_0_27,VGND,li1,31.5100,11.1710,0.000006
TAP_TAPCELL_ROW_0_26,VGND,li1,18.6300,11.1710,0.000006
PHY_EDGE_ROW_12_Left_25,VGND,li1,6.2100,43.5200,0.000008
PHY_EDGE_ROW_11_Left_24,VGND,li1,6.2100,43.5200,0.000008
PHY_EDGE_ROW_10_Left_23,VGND,li1,6.2100,38.0800,0.000005
PHY_EDGE_ROW_9_Left_22,VGND,li1,6.2100,38.0800,0.000005
PHY_EDGE_ROW_8_Left_21,VGND,li1,6.2100,32.6400,0.000001
PHY_EDGE_ROW_7_Left_20,VGND,li1,6.2100,32.6400,0.000001
PHY_EDGE_ROW_6_Left_19,VGND,li1,6.2100,27.2000,0.000003
PHY_EDGE_ROW_5_Left_18,VGND,li1,6.2100,27.2000,0.000003
PHY_EDGE_ROW_4_Left_17,VGND,li1,6.2100,21.7600,0.000003
PHY_EDGE_ROW_3_Left_16,VGND,li1,6.2100,21.7600,0.000003
PHY_EDGE_ROW_2_Left_15,VGND,li1,6.2100,16.3200,0.000007
PHY_EDGE_ROW_1_Left_14,VGND,li1,6.2100,16.3200,0.000007
PHY_EDGE_ROW_0_Left_13,VGND,li1,6.2100,10.8800,0.000006
PHY_EDGE_ROW_12_Right_12,VGND,li1,40.7100,43.5200,0.000008
PHY_EDGE_ROW_11_Right_11,VGND,li1,40.7100,43.5200,0.000008
PHY_EDGE_ROW_10_Right_10,VGND,li1,40.7100,38.0800,0.000004
PHY_EDGE_ROW_9_Right_9,VGND,li1,40.7100,38.0800,0.000004
PHY_EDGE_ROW_8_Right_8,VGND,li1,40.7100,32.6400,0.000001
PHY_EDGE_ROW_7_Right_7,VGND,li1,40.7100,32.6400,0.000001
PHY_EDGE_ROW_6_Right_6,VGND,li1,40.7100,27.2000,0.000003
PHY_EDGE_ROW_5_Right_5,VGND,li1,40.7100,27.2000,0.000003
PHY_EDGE_ROW_4_Right_4,VGND,li1,40.7100,21.7600,0.000003
PHY_EDGE_ROW_3_Right_3,VGND,li1,40.7100,21.7600,0.000003
PHY_EDGE_ROW_2_Right_2,VGND,li1,40.7100,16.3200,0.000006
PHY_EDGE_ROW_1_Right_1,VGND,li1,40.7100,16.3200,0.000006
PHY_EDGE_ROW_0_Right_0,VGND,li1,40.7100,10.8800,0.000006
_109_,VGND,li1,12.6500,43.5200,0.000008
_108_,VGND,li1,38.8700,21.7600,0.000003
_107_,VGND,li1,11.2700,38.0800,0.000005
_106_,VGND,li1,11.2700,43.5200,0.000008
_105_,VGND,li1,8.2800,43.5200,0.000008
_104_,VGND,li1,10.3500,32.6400,0.000001
_103_,VGND,li1,8.5100,32.6400,0.000001
_102_,VGND,li1,9.4300,27.2000,0.000003
_101_,VGND,li1,9.6600,21.7600,0.000003
