Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_1_94,VGND,li1,49.4500,16.3200,0.000005
FILLER_1_91,VGND,li1,48.0700,16.3200,0.000005
FILLER_1_88,VGND,li1,46.6900,16.3200,0.000005
FILLER_1_85,VGND,li1,45.3100,16.3200,0.000005
FILLER_1_82,VGND,li1,43.9300,16.3200,0.000005
FILLER_1_79,VGND,li1,42.5500,16.3200,0.000005
FILLER_1_76,VGND,li1,41.1700,16.3200,0.000005
FILLER_1_73,VGND,li1,39.7900,16.3200,0.000005
FILLER_1_70,VGND,li1,38.4100,16.3200,0.000005
FILLER_1_67,VGND,li1,37.0300,16.3200,0.000005
FILLER_1_64,VGND,li1,35.6500,16.3200,0.000004
FILLER_1_61,VGND,li1,34.2700,16.3200,0.000004
FILLER_1_41,VGND,li1,25.0700,16.3200,0.000003
FILLER_1_30,VGND,li1,20.0100,16.3200,0.000004
FILLER_1_27,VGND,li1,18.6300,16.3200,0.000004
FILLER_1_24,VGND,li1,17.2500,16.3200,0.000004
FILLER_1_21,VGND,li1,15.8700,16.3200,0.000004
FILLER_1_18,VGND,li1,14.4900,16.3200,0.000004
FILLER_1_15,VGND,li1,13.1100,16.3200,0.000004
FILLER_1_12,VGND,li1,11.7300,16.3200,0.000004
FILLER_1_9,VGND,li1,10.3500,16.3200,0.000004
FILLER_1_6,VGND,li1,8.9700,16.3200,0.000004
FILLER_1_3,VGND,li1,7.5900,16.3200,0.000004
FILLER_0_103,VGND,li1,53.3600,10.8800,0.000000
FILLER_0_100,VGND,li1,52.2100,10.8800,0.000000
FILLER_0_97,VGND,li1,50.8300,10.8800,0.000000
FILLER_0_94,VGND,li1,49.4500,10.8800,0.000000
FILLER_0_91,VGND,li1,48.0700,10.8800,0.000000
FILLER_0_88,VGND,li1,46.6900,10.8800,0.000000
FILLER_0_85,VGND,li1,45.3100,10.8800,0.000000
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000000
FILLER_0_78,VGND,li1,42.0900,10.8800,0.000000
FILLER_0_75,VGND,li1,40.7100,10.8800,0.000000
FILLER_0_72,VGND,li1,39.3300,10.8800,0.000000
FILLER_0_69,VGND,li1,37.9500,10.8800,0.000000
FILLER_0_66,VGND,li1,36.5700,10.8800,0.000000
FILLER_0_63,VGND,li1,35.1900,10.8800,0.000000
FILLER_0_60,VGND,li1,33.8100,10.8800,0.000000
FILLER_0_57,VGND,li1,32.4300,10.8800,0.000000
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000000
FILLER_0_50,VGND,li1,29.2100,10.8800,0.000000
FILLER_0_47,VGND,li1,27.8300,10.8800,0.000000
FILLER_0_44,VGND,li1,26.4500,10.8800,0.000000
FILLER_0_41,VGND,li1,25.0700,10.8800,0.000000
FILLER_0_32,VGND,li1,20.9300,10.8800,0.000000
FILLER_0_29,VGND,li1,19.5500,10.8800,0.000000
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000000
FILLER_0_21,VGND,li1,15.8700,10.8800,0.000000
FILLER_0_18,VGND,li1,14.4900,10.8800,0.000000
FILLER_0_15,VGND,li1,13.1100,10.8800,0.000000
FILLER_0_12,VGND,li1,11.7300,10.8800,0.000000
FILLER_0_9,VGND,li1,10.3500,10.8800,0.000000
FILLER_0_6,VGND,li1,8.9700,10.8800,0.000000
FILLER_0_3,VGND,li1,7.5900,10.8800,0.000000
fanout43,VGND,li1,48.7600,38.0800,0.000008
fanout42,VGND,li1,14.9500,43.5200,0.000008
fanout41,VGND,li1,24.3800,27.2000,0.000003
fanout40,VGND,li1,25.7600,16.3200,0.000003
fanout39,VGND,li1,19.7800,16.3200,0.000004
fanout38,VGND,li1,11.7300,32.6400,0.000007
fanout37,VGND,li1,27.6000,27.2000,0.000004
fanout36,VGND,li1,52.9000,21.7600,0.000008
fanout35,VGND,li1,52.4400,54.4000,0.000012
fanout34,VGND,li1,46.0000,27.2000,0.000006
max_cap33,VGND,li1,39.1000,21.7600,0.000007
max_cap32,VGND,li1,37.2600,16.3200,0.000005
max_cap31,VGND,li1,28.5200,21.7600,0.000004
fanout30,VGND,li1,19.7800,54.4000,0.000006
max_cap29,VGND,li1,33.5800,21.7600,0.000006
output28,VGND,li1,7.8200,32.6400,0.000008
output27,VGND,li1,7.8200,32.6400,0.000008
output26,VGND,li1,9.6600,38.0800,0.000007
output25,VGND,li1,7.8200,43.5200,0.000009
output24,VGND,li1,7.8200,38.0800,0.000007
output23,VGND,li1,33.5800,59.8400,0.000006
output22,VGND,li1,40.0200,59.8400,0.000007
